Q
现在请你扮演一个金融领域测试专家的角色，从事金融业务规则的测试工作。你擅长于从业务规则生成需求规约。
例如，对于输入规则：“3.3.4 债券通用质押式回购的申报数量应当为1000元面额或者其整数倍”，
规则：“2.4.2 采用竞价交易方式的，除本规则另有规定外，每个交易日的9:15至9:25为开盘集合竞价时间，9:30至11:30、13:00至14:57为连续竞价时间，14:57至15:00为收盘集合竞价时间。基金交易，每个交易日的9:15至9:25为开盘集合竞价时间，9:30至11:30、13:00至15:00为连续竞价时间。”
需求规约：
id: 2.4.2_1
测试关注点： 竞价交易时间
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 在开盘集合竞价时间进行委托
结果： 成功
前置规则： []
后置规则： []
id: 2.4.2_2
测试关注点： 竞价交易时间
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 在非竞价交易时间进行委托
结果： 不成功
前置规则： []
后置规则： []
id: 2.4.2_3
测试关注点： 竞价交易时间
交易方式： 竞价交易
交易品种： 基金
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 在开盘集合竞价时间进行委托
结果： 成功
前置规则： []
后置规则： []
id: 2.4.2_4
测试关注点： 竞价交易时间
交易方式： 竞价交易
交易品种： 基金
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 在非竞价交易时间进行委托
结果： 不成功
前置规则： []
后置规则： []

Q
3.3.1 本所接受交易参与人竞价交易申报的时间为每个交易日9:15至9:25、9:30至11:30、13:00至15:00。

A
规则：“3.3.1 本所接受交易参与人竞价交易申报的时间为每个交易日9:15至9:25、9:30至11:30、13:00至15:00。”
需求规约：
id: 3.3.1_1
测试关注点： 申报时间
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 在规定时间内进行申报
结果： 成功
前置规则： []
后置规则： []
id: 3.3.1_2
测试关注点： 申报时间
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 在非规定时间内进行申报
结果： 不成功
前置规则： []
后置规则： []
id: 3.3.1_3
测试关注点： 申报时间
交易方式： 竞价交易
交易品种： 基金
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 在规定时间内进行申报
结果： 成功
前置规则： []
后置规则： []
id: 3.3.1_4
测试关注点： 申报时间
交易方式： 竞价交易
交易品种： 基金
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 在非规定时间内进行申报
结果： 不成功
前置规则： []
后置规则： []

Q
3.3.2 会员应当按照客户委托的时间先后顺序及时向本所申报。

A
规则：“3.3.2 会员应当按照客户委托的时间先后顺序及时向本所申报。”
需求规约：
id: 3.3.2_1
测试关注点： 委托顺序
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 会员按照客户委托的时间顺序进行申报
结果： 成功
前置规则： []
后置规则： []
id: 3.3.2_2
测试关注点： 委托顺序
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 会员未按照客户委托的时间顺序进行申报
结果： 不成功
前置规则： []
后置规则： []
id: 3.3.2_3
测试关注点： 委托顺序
交易方式： 竞价交易
交易品种： 基金
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 会员按照客户委托的时间顺序进行申报
结果： 成功
前置规则： []
后置规则： []
id: 3.3.2_4
测试关注点： 委托顺序
交易方式： 竞价交易
交易品种： 基金
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 会员未按照客户委托的时间顺序进行申报
结果： 不成功
前置规则： []
后置规则： []

Q
3.3.3 本所接受交易参与人的限价申报和市价申报。

A
规则：“3.3.3 本所接受交易参与人的限价申报和市价申报。”
需求规约：
id: 3.3.3_1
测试关注点： 申报类型
交易方式： 限价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 交易参与人进行限价申报
结果： 成功
前置规则： []
后置规则： []
id: 3.3.3_2
测试关注点： 申报类型
交易方式： 市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 交易参与人进行市价申报
结果： 成功
前置规则： []
后置规则： []
id: 3.3.3_3
测试关注点： 申报类型
交易方式： 限价交易
交易品种： 基金
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 交易参与人进行限价申报
结果： 成功
前置规则： []
后置规则： []
id: 3.3.3_4
测试关注点： 申报类型
交易方式： 市价交易
交易品种： 基金
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 交易参与人进行市价申报
结果： 成功
前置规则： []
后置规则： []

Q
3.3.4 根据市场需要，本所可以接受下列方式的市价申报：（一）最优5档即时成交剩余撤销申报，即该申报在对手方实时最优5个价位内以对手方价格为成交价逐次成交，剩余未成交部分自动撤销。（二）最优5档即时成交剩余转限价申报，即该申报在对手方实时5个最优价位内以对手方价格为成交价逐次成交，剩余未成交部分按本方申报最新成交价转为限价申报；如该申报无成交的，按本方最优报价转为限价申报；如无本方申报的，该申报撤销。（三）本方最优价格申报，即该申报以其进入交易主机时，集中申报簿中本方最优报价为其申报价格；本方最优价格申报进入交易主机时，集中申报簿中本方无申报的，申报自动撤销。（四）对手方最优价格申报，即该申报以其进入交易主机时，集中申报簿中对手方最优报价为其申报价格；对手方最优价格申报进入交易主机时，集中申报簿中对手方无申报的，申报自动撤销。（五）本所规定的其他方式。

A
规则：“3.3.4 根据市场需要，本所可以接受下列方式的市价申报：（一）最优5档即时成交剩余撤销申报，即该申报在对手方实时最优5个价位内以对手方价格为成交价逐次成交，剩余未成交部分自动撤销。（二）最优5档即时成交剩余转限价申报，即该申报在对手方实时5个最优价位内以对手方价格为成交价逐次成交，剩余未成交部分按本方申报最新成交价转为限价申报；如该申报无成交的，按本方最优报价转为限价申报；如无本方申报的，该申报撤销。（三）本方最优价格申报，即该申报以其进入交易主机时，集中申报簿中本方最优报价为其申报价格；本方最优价格申报进入交易主机时，集中申报簿中本方无申报的，申报自动撤销。（四）对手方最优价格申报，即该申报以其进入交易主机时，集中申报簿中对手方最优报价为其申报价格；对手方最优价格申报进入交易主机时，集中申报簿中对手方无申报的，申报自动撤销。（五）本所规定的其他方式。”
需求规约：
id: 3.3.4_1
测试关注点： 市价申报方式
交易方式： 市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 交易参与人进行最优5档即时成交剩余撤销申报
结果： 成功
前置规则： []
后置规则： []
id: 3.3.4_2
测试关注点： 市价申报方式
交易方式： 市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 交易参与人进行最优5档即时成交剩余转限价申报
结果： 成功
前置规则： []
后置规则： []
id: 3.3.4_3
测试关注点： 市价申报方式
交易方式： 市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 交易参与人进行本方最优价格申报
结果： 成功
前置规则： []
后置规则： []
id: 3.3.4_4
测试关注点： 市价申报方式
交易方式： 市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 交易参与人进行对手方最优价格申报
结果： 成功
前置规则： []
后置规则： []
id: 3.3.4_5
测试关注点： 市价申报方式
交易方式： 市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 交易参与人进行本所规定的其他方式申报
结果： 成功
前置规则： []
后置规则： []

Q
3.3.5 市价申报内容应当包含投资者能够接受的最高买价（以下简称买入保护限价）或者最低卖价（以下简称卖出保护限价）。本所交易系统处理前款规定的市价申报时，买入申报的成交价格和转为限价申报的申报价格不高于买入保护限价，卖出申报的成交价格和转为限价申报的申报价格不低于卖出保护限价。

A
规则：“3.3.5 市价申报内容应当包含投资者能够接受的最高买价（以下简称买入保护限价）或者最低卖价（以下简称卖出保护限价）。本所交易系统处理前款规定的市价申报时，买入申报的成交价格和转为限价申报的申报价格不高于买入保护限价，卖出申报的成交价格和转为限价申报的申报价格不低于卖出保护限价。”
需求规约：
id: 3.3.5_1
测试关注点： 市价申报的买入保护限价
交易方式： 市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入
操作： 投资者设置买入保护限价，并进行市价申报
结果： 成功
前置规则： []
后置规则： []
id: 3.3.5_2
测试关注点： 市价申报的卖出保护限价
交易方式： 市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 卖出
操作： 投资者设置卖出保护限价，并进行市价申报
结果： 成功
前置规则： []
后置规则： []
id: 3.3.5_3
测试关注点： 市价申报的成交价格和限价申报的申报价格
交易方式： 市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入
操作： 投资者进行市价申报，成交价格不高于买入保护限价
结果： 成功
前置规则： []
后置规则： []
id: 3.3.5_4
测试关注点： 市价申报的成交价格和限价申报的申报价格
交易方式： 市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 卖出
操作： 投资者进行市价申报，成交价格不低于卖出保护限价
结果： 成功
前置规则： []
后置规则： []
id: 3.3.5_5
测试关注点： 市价申报转为限价申报的价格
交易方式： 市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入
操作： 投资者的市价申报在无成交的情况下转为限价申报，申报价格不高于买入保护限价
结果： 成功
前置规则： []
后置规则： []
id: 3.3.5_6
测试关注点： 市价申报转为限价申报的价格
交易方式： 市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 卖出
操作： 投资者的市价申报在无成交的情况下转为限价申报，申报价格不低于卖出保护限价
结果： 成功
前置规则： []
后置规则： []

Q
3.3.6 市价申报只适用于连续竞价期间的交易，本所另有规定的除外。

A
规则：“3.3.6 市价申报只适用于连续竞价期间的交易，本所另有规定的除外。”
需求规约：
id: 3.3.6_1
测试关注点： 市价申报的使用时机
交易方式： 市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 投资者在连续竞价期间进行市价申报
结果： 成功
前置规则： []
后置规则： []
id: 3.3.6_2
测试关注点： 市价申报的使用时机
交易方式： 市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 投资者在非连续竞价期间进行市价申报（如开盘集合竞价期间）
结果： 不成功
前置规则： []
后置规则： []
id: 3.3.6_3
测试关注点： 市价申报的使用时机
交易方式： 市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 投资者在连续竞价期间进行市价申报，但本所另有规定不适用市价申报的情况
结果： 不成功
前置规则： []
后置规则： []
id: 3.3.6_4
测试关注点： 市价申报的使用时机
交易方式： 市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 投资者在连续竞价期间进行市价申报，符合本所规定的情况
结果： 成功
前置规则： []
后置规则： []

Q
3.3.7 限价申报指令应当包括证券账号、营业部代码、证券代码、买卖方向、数量、价格等内容。市价申报指令应当包括申报类型、证券账号、营业部代码、证券代码、买卖方向、数量等内容。申报指令按本所规定的格式传送。本所认为必要时，可以调整申报的内容及方式。

A
规则：“3.3.7 限价申报指令应当包括证券账号、营业部代码、证券代码、买卖方向、数量、价格等内容。市价申报指令应当包括申报类型、证券账号、营业部代码、证券代码、买卖方向、数量等内容。申报指令按本所规定的格式传送。本所认为必要时，可以调整申报的内容及方式。”
需求规约：
id: 3.3.7_1
测试关注点： 限价申报指令内容
交易方式： 限价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 投资者提交包含证券账号、营业部代码、证券代码、买卖方向、数量、价格的限价申报指令
结果： 成功
前置规则： []
后置规则： []
id: 3.3.7_2
测试关注点： 市价申报指令内容
交易方式： 市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 投资者提交包含申报类型、证券账号、营业部代码、证券代码、买卖方向、数量的市价申报指令
结果： 成功
前置规则： []
后置规则： []
id: 3.3.7_3
测试关注点： 申报指令格式
交易方式： 限价/市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 投资者按照本所规定的格式传送申报指令
结果： 成功
前置规则： []
后置规则： []
id: 3.3.7_4
测试关注点： 申报内容及方式的调整
交易方式： 限价/市价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 本所根据必要调整申报的内容及方式
结果： 成功
前置规则： []
后置规则： []

Q
3.3.8 通过竞价交易买入证券的，申报数量应当为100股（份）或其整数倍。卖出证券时，余额不足100股（份）的部分，应当一次性申报卖出。

A
规则：“3.3.8 通过竞价交易买入证券的，申报数量应当为100股（份）或其整数倍。卖出证券时，余额不足100股（份）的部分，应当一次性申报卖出。”
需求规约：
id: 3.3.8_1
测试关注点： 买入申报数量要求
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入
操作： 投资者申报买入数量为100股或其整数倍
结果： 成功
前置规则： []
后置规则： []
id: 3.3.8_2
测试关注点： 买入申报数量要求
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入
操作： 投资者申报买入数量不足100股
结果： 不成功
前置规则： []
后置规则： []
id: 3.3.8_3
测试关注点： 卖出申报数量要求
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 卖出
操作： 投资者申报卖出数量为100股或其整数倍
结果： 成功
前置规则： []
后置规则： []
id: 3.3.8_4
测试关注点： 卖出申报数量要求
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 卖出
操作： 投资者申报卖出数量不足100股
结果： 成功，但余额不足100股的部分应一次性申报卖出
前置规则： []
后置规则： []
id: 3.3.8_5
测试关注点： 卖出申报数量要求
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 卖出
操作： 投资者分多次申报卖出不足100股的部分
结果： 不成功，应当一次性申报卖出
前置规则： []
后置规则： []

Q
3.3.9 证券交易单笔申报最大数量应当不超过100万股（份）。根据市场需要，本所可以调整证券的单笔申报最大数量。

A
规则：“3.3.9 证券交易单笔申报最大数量应当不超过100万股（份）。根据市场需要，本所可以调整证券的单笔申报最大数量。”
需求规约：
id: 3.3.9_1
测试关注点： 证券交易单笔申报最大数量限制
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 投资者申报的交易数量不超过100万股（份）
结果： 成功
前置规则： []
后置规则： []
id: 3.3.9_2
测试关注点： 证券交易单笔申报最大数量限制
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 投资者申报的交易数量超过100万股（份）
结果： 不成功
前置规则： []
后置规则： []
id: 3.3.9_3
测试关注点： 证券交易单笔申报最大数量调整
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 本所根据市场需要调整证券的单笔申报最大数量
结果： 成功
前置规则： []
后置规则： []
id: 3.3.9_4
测试关注点： 证券交易单笔申报最大数量调整后的申报
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 投资者根据调整后的单笔申报最大数量进行申报
结果： 成功
前置规则： []
后置规则： []

Q
3.3.10 不同证券的交易采用不同的计价单位。股票为“每股价格”，基金为“每份基金价格”，权证为“每份权证价格”，存托凭证为“每份存托凭证价格”。

A
规则：“3.3.10 不同证券的交易采用不同的计价单位。股票为‘每股价格’，基金为‘每份基金价格’，权证为‘每份权证价格’，存托凭证为‘每份存托凭证价格’。”
需求规约：
id: 3.3.10_1
测试关注点： 股票交易计价单位
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 投资者根据“每股价格”进行股票交易申报
结果： 成功
前置规则： []
后置规则： []
id: 3.3.10_2
测试关注点： 基金交易计价单位
交易方式： 竞价交易
交易品种： 基金
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 投资者根据“每份基金价格”进行基金交易申报
结果： 成功
前置规则： []
后置规则： []
id: 3.3.10_3
测试关注点： 权证交易计价单位
交易方式： 竞价交易
交易品种： 权证
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 投资者根据“每份权证价格”进行权证交易申报
结果： 成功
前置规则： []
后置规则： []
id: 3.3.10_4
测试关注点： 存托凭证交易计价单位
交易方式： 竞价交易
交易品种： 存托凭证
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 投资者根据“每份存托凭证价格”进行存托凭证交易申报
结果： 成功
前置规则： []
后置规则： []

Q
3.3.11 A股的申报价格最小变动单位为0.01元人民币，基金、权证交易的申报价格最小变动单位为0.001元人民币，B股交易的申报价格最小变动单位为0.001美元。本所可以依据股价高低，实施不同的申报价格最小变动单位。

A
规则：“3.3.11 A股的申报价格最小变动单位为0.01元人民币，基金、权证交易的申报价格最小变动单位为0.001元人民币，B股交易的申报价格最小变动单位为0.001美元。本所可以依据股价高低，实施不同的申报价格最小变动单位。”
需求规约：
id: 3.3.11_1
测试关注点： A股申报价格最小变动单位
交易方式： 竞价交易
交易品种： A股
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 投资者申报价格时，变动单位为0.01元人民币
结果： 成功
前置规则： []
后置规则： []
id: 3.3.11_2
测试关注点： 基金、权证申报价格最小变动单位
交易方式： 竞价交易
交易品种： 基金/权证
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 投资者申报价格时，变动单位为0.001元人民币
结果： 成功
前置规则： []
后置规则： []
id: 3.3.11_3
测试关注点： B股申报价格最小变动单位
交易方式： 竞价交易
交易品种： B股
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 投资者申报价格时，变动单位为0.001美元
结果： 成功
前置规则： []
后置规则： []
id: 3.3.11_4
测试关注点： 申报价格最小变动单位的调整
交易方式： 竞价交易
交易品种： A股/基金/权证/B股
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 本所根据股价高低调整申报价格最小变动单位
结果： 成功
前置规则： []
后置规则： []

Q
3.3.12 根据市场需要，本所可以调整各类证券单笔买卖申报数量和申报价格的最小变动单位。

A
规则：“3.3.12 根据市场需要，本所可以调整各类证券单笔买卖申报数量和申报价格的最小变动单位。”
需求规约：
id: 3.3.12_1
测试关注点： 证券单笔买卖申报数量的调整
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 本所根据市场需要调整股票的单笔买卖申报数量
结果： 成功
前置规则： []
后置规则： []
id: 3.3.12_2
测试关注点： 证券申报价格最小变动单位的调整
交易方式： 竞价交易
交易品种： 股票
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 本所根据市场需要调整股票的申报价格最小变动单位
结果： 成功
前置规则： []
后置规则： []
id: 3.3.12_3
测试关注点： 证券单笔买卖申报数量和申报价格最小变动单位的调整
交易方式： 竞价交易
交易品种： 基金
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 本所根据市场需要调整基金的单笔买卖申报数量和申报价格最小变动单位
结果： 成功
前置规则： []
后置规则： []
id: 3.3.12_4
测试关注点： 证券单笔买卖申报数量和申报价格最小变动单位的调整
交易方式： 竞价交易
交易品种： 权证
交易市场： 上海证券交易所
交易方向： 买入/卖出
操作： 本所根据市场需要调整权证的单笔买卖申报数量和申报价格最小变动单位
结果： 成功
前置规则： []
后置规则： []
