Q
现在请你扮演一个金融领域测试专家的角色，从事金融业务规则的测试工作。你擅长于从业务规则生成需求规约。
例如，对于输入规则：“3.3.4 债券通用质押式回购的申报数量应当为1000元面额或者其整数倍”，
后置规则: []
id: 6.2_2
测试关注点: 封闭式基金份额总额
交易市场: 深圳证券交易所
交易品种: 封闭式基金
交易方式: 上市交易
交易方向: N/A
操作: 验证份额总额变动
结果: 变动失败
前置规则: [6.1_1]
后置规则: []
### 规则3：ETF份额申购、赎回方式
id: 6.3_1
测试关注点: ETF份额交易方式
交易市场: 深圳证券交易所
交易品种: ETF
交易方式: 份额申购、份额赎回
交易方向: N/A
操作: 申购/赎回
结果: 成功
前置规则: [6.1_1]
后置规则: []
id: 6.3_2
测试关注点: ETF份额交易方式
交易市场: 深圳证券交易所
交易品种: ETF
交易方式: 非份额申购、份额赎回方式（例如现金申购）
交易方向: N/A
操作: 申购/赎回
结果: 不成功
前置规则: [6.1_1]
后置规则: []
### 规则4：LOF份额申购、赎回方式
id: 6.4_1
测试关注点: LOF份额交易方式
交易市场: 深圳证券交易所
交易品种: LOF
交易方式: 金额申购、份额赎回
交易方向: N/A
操作: 申购/赎回
结果: 成功
前置规则: [6.1_1]
后置规则: []
id: 6.4_2
测试关注点: LOF份额交易方式
交易市场: 深圳证券交易所
交易品种: LOF
交易方式: 非金额申购、份额赎回方式（例如份额申购）
交易方向: N/A
操作: 申购/赎回
结果: 不成功
前置规则: [6.1_1]
后置规则: []
### 规则5：分级基金风险收益分配及份额转换
id: 6.5_1
测试关注点: 分级基金份额转换
交易市场: 深圳证券交易所
交易品种: 分级基金
交易方式: 分拆、合并
交易方向: N/A
操作: 分拆/合并
结果: 成功
前置规则: [6.1_1]
后置规则: []
id: 6.5_2
测试关注点: 分级基金份额转换
交易市场: 深圳证券交易所
交易品种: 分级基金
交易方式: 非分拆、合并方式（例如直接申购）
交易方向: N/A
操作: 份额转换
结果: 不成功
前置规则: [6.1_1]
后置规则: []
请注意，这些需求规约是基于您提供的规则文本生成的，实际应用中可能需要进一步的详细信息和上下文来完善测试规约。


Q
第七条 基金份额交易可以采用竞价交易、大宗交易等方式。

A
基于您提供的深交所基金交易业务规则第七条，我将生成以下需求规约：
### 规则6：基金份额交易方式
id: 7.1_1
测试关注点: 交易方式
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 竞价交易
交易方向: 买入/卖出
操作: 交易
结果: 成功
前置规则: [6.1_1]
后置规则: []
id: 7.1_2
测试关注点: 交易方式
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 大宗交易
交易方向: 买入/卖出
操作: 交易
结果: 成功
前置规则: [6.1_1]
后置规则: []
id: 7.1_3
测试关注点: 交易方式
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 非法交易方式（例如场外交易）
交易方向: 买入/卖出
操作: 交易
结果: 不成功
前置规则: [6.1_1]
后置规则: []
这些需求规约覆盖了基金份额可以通过竞价交易和大宗交易进行买卖的情况，并且包括了一个非法交易方式的不成功用例。每个规约都包含了交易市场、交易品种、交易方式和交易方向等测试点，并且指明了预期的交易结果。


Q
第八条 基金份额交易的申报价格最小变动单位为 0.001元。

A
基于您提供的深交所基金交易业务规则第八条，我将生成以下需求规约：
### 规则7：基金份额交易申报价格最小变动单位
id: 8.1_1
测试关注点: 申报价格变动单位
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 竞价交易/大宗交易
交易方向: 买入/卖出
操作: 设置申报价格
结果: 成功
前置规则: [7.1_1, 7.1_2]
后置规则: []
特殊要求: 申报价格变动单位为0.001元
id: 8.1_2
测试关注点: 申报价格变动单位
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 竞价交易/大宗交易
交易方向: 买入/卖出
操作: 设置申报价格
结果: 不成功
前置规则: [7.1_1, 7.1_2]
后置规则: []
特殊要求: 申报价格变动单位小于0.001元
这些需求规约覆盖了基金份额交易中申报价格最小变动单位为0.001元的情况，并且包括了一个申报价格变动单位小于0.001元的不成功用例。每个规约都包含了交易市场、交易品种、交易方式和交易方向等测试点，并且指明了预期的交易结果。同时，特殊要求部分明确了申报价格变动的具体单位要求。


Q
第九条 基金份额上市首日，其即时行情显示的前收盘价为基金管理人最近公布并向本所提供的基金份额净值或者参考净值（四舍五入至 0.001 元），其准确性由基金管理人负责。

A
基于您提供的深交所基金交易业务规则第九条，我将生成以下需求规约：
### 规则8：基金份额上市首日前收盘价显示
id: 9.1_1
测试关注点: 上市首日前收盘价显示
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: N/A
交易方向: N/A
操作: 显示前收盘价
结果: 成功
前置规则: [6.1_1]
后置规则: []
特殊要求: 前收盘价应显示为基金管理人提供的基金份额净值或参考净值（四舍五入至0.001元）
id: 9.1_2
测试关注点: 上市首日前收盘价显示
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: N/A
交易方向: N/A
操作: 显示前收盘价
结果: 不成功
前置规则: [6.1_1]
后置规则: []
特殊要求: 前收盘价未按基金管理人提供的净值或参考净值显示，或者未四舍五入至0.001元
这些需求规约覆盖了基金份额上市首日即时行情显示前收盘价的情况，包括了一个成功的用例和一个不成功的用例。每个规约都包含了交易市场、交易品种等测试点，并且指明了预期的显示结果。特殊要求部分明确了前收盘价应遵循的规则。


Q
第十条 基金发生权益分派的，在权益登记日次一交易日进行除权除息处理。

A
基于您提供的深交所基金交易业务规则第十条，我将生成以下需求规约：
### 规则9：基金权益分派后的除权除息处理
id: 10.1_1
测试关注点: 权益分派后的除权除息处理
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: N/A
交易方向: N/A
操作: 除权除息处理
结果: 成功
前置规则: [6.1_1]
后置规则: []
特殊要求: 在权益登记日次一交易日进行除权除息处理
id: 10.1_2
测试关注点: 权益分派后的除权除息处理
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: N/A
交易方向: N/A
操作: 除权除息处理
结果: 不成功
前置规则: [6.1_1]
后置规则: []
特殊要求: 在非权益登记日次一交易日进行除权除息处理，或者在权益登记日当天进行除权除息处理
这些需求规约覆盖了基金发生权益分派后的除权除息处理情况，包括了一个成功的用例和一个不成功的用例。每个规约都包含了交易市场、交易品种等测试点，并且指明了预期的处理结果。特殊要求部分明确了除权除息处理应遵循的规则。


Q
第十一条 分级基金发生份额折算的，折算完成后次一交易日即时行情显示的前收盘价调整为基金管理人最近公布并向本所提供的基金份额净值或者参考净值（四舍五入至 0.001 元），其准确性由基金管理人负责。

A
基于您提供的深交所基金交易业务规则第十一条，我将生成以下需求规约：
### 规则10：分级基金份额折算后前收盘价调整
id: 11.1_1
测试关注点: 份额折算后前收盘价调整
交易市场: 深圳证券交易所
交易品种: 分级基金
交易方式: N/A
交易方向: N/A
操作: 调整前收盘价
结果: 成功
前置规则: [6.1_1, 10.1_1]
后置规则: []
特殊要求: 折算完成后次一交易日即时行情显示的前收盘价应调整为基金管理人提供的基金份额净值或参考净值（四舍五入至0.001元）
id: 11.1_2
测试关注点: 份额折算后前收盘价调整
交易市场: 深圳证券交易所
交易品种: 分级基金
交易方式: N/A
交易方向: N/A
操作: 调整前收盘价
结果: 不成功
前置规则: [6.1_1, 10.1_1]
后置规则: []
特殊要求: 前收盘价未按基金管理人提供的净值或参考净值显示，或者未在折算完成后次一交易日调整，或者未四舍五入至0.001元
这些需求规约覆盖了分级基金发生份额折算后即时行情显示前收盘价调整的情况，包括了一个成功的用例和一个不成功的用例。每个规约都包含了交易市场、交易品种等测试点，并且指明了预期的处理结果。特殊要求部分明确了前收盘价调整应遵循的规则。


Q
第十二条 基金份额竞价交易采用限价申报或者市价申报的方式进行申报。每个交易日 9︰15 至 9︰25 为开盘集合竞价时间，9︰30 至 11︰30、13︰00 至 14︰57 为连续竞价时间，14︰57 至 15︰00 为收盘集合竞价时间。

A
基于您提供的深交所基金交易业务规则第十二条，我将生成以下需求规约：
### 规则11：基金份额竞价交易申报方式及时间
id: 12.1_1
测试关注点: 竞价交易申报方式及时间
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 竞价交易
交易方向: 买入/卖出
操作: 限价申报
结果: 成功
前置规则: [7.1_1]
后置规则: []
特殊要求: 在规定的竞价时间内进行申报
id: 12.1_2
测试关注点: 竞价交易申报方式及时间
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 竞价交易
交易方向: 买入/卖出
操作: 市价申报
结果: 成功
前置规则: [7.1_1]
后置规则: []
特殊要求: 在规定的竞价时间内进行申报
id: 12.1_3
测试关注点: 竞价交易申报方式及时间
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 竞价交易
交易方向: 买入/卖出
操作: 限价申报
结果: 不成功
前置规则: [7.1_1]
后置规则: []
特殊要求: 在非规定的竞价时间内进行申报
id: 12.1_4
测试关注点: 竞价交易申报方式及时间
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 竞价交易
交易方向: 买入/卖出
操作: 市价申报
结果: 不成功
前置规则: [7.1_1]
后置规则: []
特殊要求: 在非规定的竞价时间内进行申报
这些需求规约覆盖了基金份额竞价交易中限价申报和市价申报的方式，以及申报的时间限制。每个规约都包含了交易市场、交易品种、交易方式和交易方向等测试点，并且指明了预期的交易结果。特殊要求部分明确了申报应在规定的竞价时间内进行。


Q
第十三条 通过竞价交易买入基金份额的，申报数量应当为100 份或者其整数倍。卖出基金份额时，余额不足 100 份的部分，应当一次性申报卖出。基金份额竞价交易单笔申报最大数量不得超过 100 万份。

A
基于您提供的深交所基金交易业务规则第十三条，我将生成以下需求规约：
### 规则12：基金份额竞价交易申报数量限制
id: 13.1_1
测试关注点: 买入申报数量
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 竞价交易
交易方向: 买入
操作: 申报买入
结果: 成功
前置规则: [12.1_1, 12.1_2]
后置规则: []
特殊要求: 申报数量为100份或其整数倍
id: 13.1_2
测试关注点: 买入申报数量
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 竞价交易
交易方向: 买入
操作: 申报买入
结果: 不成功
前置规则: [12.1_1, 12.1_2]
后置规则: []
特殊要求: 申报数量不是100份或其整数倍
id: 13.1_3
测试关注点: 卖出申报数量
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 竞价交易
交易方向: 卖出
操作: 申报卖出
结果: 成功
前置规则: [12.1_1, 12.1_2]
后置规则: []
特殊要求: 余额不足100份的部分一次性申报卖出
id: 13.1_4
测试关注点: 卖出申报数量
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 竞价交易
交易方向: 卖出
操作: 申报卖出
结果: 不成功
前置规则: [12.1_1, 12.1_2]
后置规则: []
特殊要求: 余额不足100份的部分未一次性申报卖出
id: 13.1_5
测试关注点: 单笔申报最大数量
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 竞价交易
交易方向: 买入/卖出
操作: 申报
结果: 成功
前置规则: [12.1_1, 12.1_2]
后置规则: []
特殊要求: 单笔申报数量不超过100万份
id: 13.1_6
测试关注点: 单笔申报最大数量
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 竞价交易
交易方向: 买入/卖出
操作: 申报
结果: 不成功
前置规则: [12.1_1, 12.1_2]
后置规则: []
特殊要求: 单笔申报数量超过100万份
这些需求规约覆盖了基金份额竞价交易中买入和卖出的申报数量限制，以及单笔申报的最大数量限制。每个规约都包含了交易市场、交易品种、交易方式和交易方向等测试点，并且指明了预期的交易结果。特殊要求部分明确了申报数量的具体限制。


Q
第十四条 基金份额竞价交易实行价格涨跌幅限制，涨跌幅限制比例为 10%。

A
基于您提供的深交所基金交易业务规则第十四条，我将生成以下需求规约：
### 规则13：基金份额竞价交易价格涨跌幅限制
id: 14.1_1
测试关注点: 价格涨跌幅限制
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 竞价交易
交易方向: 买入/卖出
操作: 设置交易价格
结果: 成功
前置规则: [12.1_1, 12.1_2]
后置规则: []
特殊要求: 涨跌幅限制比例为10%
id: 14.1_2
测试关注点: 价格涨跌幅限制
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 竞价交易
交易方向: 买入/卖出
操作: 设置交易价格
结果: 不成功
前置规则: [12.1_1, 12.1_2]
后置规则: []
特殊要求: 涨跌幅超过10%
这些需求规约覆盖了基金份额竞价交易中的价格涨跌幅限制。每个规约都包含了交易市场、交易品种、交易方式和交易方向等测试点，并且指明了预期的交易结果。特殊要求部分明确了涨跌幅限制的具体比例。


Q
第十五条 基金份额单笔交易数量不低于 200 万份，或者交易金额不低于 200 万元人民币，可以采用大宗交易方式。

A
基于您提供的深交所基金交易业务规则第十五条，我将生成以下需求规约：
### 规则14：基金份额大宗交易条件
id: 15.1_1
测试关注点: 大宗交易条件
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 大宗交易
交易方向: 买入/卖出
操作: 申报大宗交易
结果: 成功
前置规则: [6.1_1]
后置规则: []
特殊要求: 单笔交易数量不低于200万份，或者交易金额不低于200万元人民币
id: 15.1_2
测试关注点: 大宗交易条件
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 大宗交易
交易方向: 买入/卖出
操作: 申报大宗交易
结果: 不成功
前置规则: [6.1_1]
后置规则: []
特殊要求: 单笔交易数量低于200万份且交易金额低于200万元人民币
这些需求规约覆盖了基金份额大宗交易的条件。每个规约都包含了交易市场、交易品种、交易方式和交易方向等测试点，并且指明了预期的交易结果。特殊要求部分明确了大宗交易的具体条件。


Q
第十六条 基金份额采用协议大宗交易方式的，本所接受申报时间为每个交易日 9︰15 至 11︰30、13︰00 至 15︰30，成交确认时间为每个交易日 15︰00 至 15︰30。基金份额采用盘后定价大宗交易方式的，本所接受申报时间为每个交易日 15：05 至 15：30。

A
基于您提供的深交所基金交易业务规则第十六条，我将生成以下需求规约：
### 规则15：基金份额协议大宗交易申报及成交确认时间
id: 16.1_1
测试关注点: 协议大宗交易申报时间
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 协议大宗交易
交易方向: 买入/卖出
操作: 申报
结果: 成功
前置规则: [15.1_1]
后置规则: []
特殊要求: 申报时间为每个交易日9:15至11:30、13:00至15:30
id: 16.1_2
测试关注点: 协议大宗交易申报时间
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 协议大宗交易
交易方向: 买入/卖出
操作: 申报
结果: 不成功
前置规则: [15.1_1]
后置规则: []
特殊要求: 申报时间不在每个交易日9:15至11:30、13:00至15:30之间
id: 16.1_3
测试关注点: 协议大宗交易成交确认时间
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 协议大宗交易
交易方向: 买入/卖出
操作: 成交确认
结果: 成功
前置规则: [16.1_1]
后置规则: []
特殊要求: 成交确认时间为每个交易日15:00至15:30
id: 16.1_4
测试关注点: 协议大宗交易成交确认时间
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 协议大宗交易
交易方向: 买入/卖出
操作: 成交确认
结果: 不成功
前置规则: [16.1_1]
后置规则: []
特殊要求: 成交确认时间不在每个交易日15:00至15:30之间
### 规则16：基金份额盘后定价大宗交易申报时间
id: 16.2_1
测试关注点: 盘后定价大宗交易申报时间
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 盘后定价大宗交易
交易方向: 买入/卖出
操作: 申报
结果: 成功
前置规则: [15.1_1]
后置规则: []
特殊要求: 申报时间为每个交易日15:05至15:30
id: 16.2_2
测试关注点: 盘后定价大宗交易申报时间
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 盘后定价大宗交易
交易方向: 买入/卖出
操作: 申报
结果: 不成功
前置规则: [15.1_1]
后置规则: []
特殊要求: 申报时间不在每个交易日15:05至15:30之间
这些需求规约覆盖了基金份额协议大宗交易和盘后定价大宗交易的申报及成交确认时间。每个规约都包含了交易市场、交易品种、交易方式和交易方向等测试点，并且指明了预期的交易结果。特殊要求部分明确了申报和成交确认的具体时间。


Q
第十七条 基金份额协议大宗交易申报价格范围为前收盘价的上下 10%。

A
基于您提供的深交所基金交易业务规则第十七条，我将生成以下需求规约：
### 规则17：基金份额协议大宗交易申报价格范围
id: 17.1_1
测试关注点: 协议大宗交易申报价格范围
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 协议大宗交易
交易方向: 买入/卖出
操作: 设置申报价格
结果: 成功
前置规则: [16.1_1]
后置规则: []
特殊要求: 申报价格在前收盘价的上下10%范围内
id: 17.1_2
测试关注点: 协议大宗交易申报价格范围
交易市场: 深圳证券交易所
交易品种: 所有基金品种
交易方式: 协议大宗交易
交易方向: 买入/卖出
操作: 设置申报价格
结果: 不成功
前置规则: [16.1_1]
后置规则: []
特殊要求: 申报价格超过前收盘价的上下10%范围
这些需求规约覆盖了基金份额协议大宗交易的申报价格范围。每个规约都包含了交易市场、交易品种、交易方式和交易方向等测试点，并且指明了预期的交易结果。特殊要求部分明确了申报价格的具体范围。

