2.2.1_1 主做市商对基准做市品种开展持续做市业务（以下简称基准做市业务）。
5.2.2_2 发行人拟开展债券回售后转售业务的，可根据相关安排通过交易系统或者本所认可的其他方式实施转售。
5.2.3_0 债券分期偿还采取减少实际面额的方式办理。
5.2.3_1 本所可根据市场情况采取减少持仓或者其他方式办理。
5.2.3_3 债券分期偿还采取减少持仓方式的，债券实际面额保持不变，债券持仓数量根据已偿还比例相应减少。
5.2.3_4 由此计算的减少数量不为100元面额整数倍时，本次按照向下取整的原则予以偿还，剩余未偿还部分按募集说明书约定存续并享有相应权益。
5.2.4_0 采用全价价格交易的债券发生付息的，本所在权益登记日次一交易日对该债券作除息处理。
5.2.5_0 债券投资者可以通过本所交易系统提交转托管申报，将持有的已上市流通跨市场债券在不同登记结算机构间进行托管转移。
5.2.6_0 会员经纪客户可以以同一证券账户在单个或者多个会员的不同证券营业部买入债券，买入的债券可以在单个或者多个会员的不同证券营业部之间进行托管转移。
6.5_3 开盘价为当日第一笔成交价格。
6.5_4 收盘价为当日15:30（含）前最后一笔交易（含）前一小时内的成交量加权平均价，15:30之后的成交数据不纳入收盘价计算。
6.5_5 当日无成交的，以前收盘价为当日收盘价。
